Directory,File,Total Cycles,Average PTW Latency (Cycles)
CPU/8core-1000M,bc,163300540,244.0530730867899
CPU/8core-1000M,bfs,1103080940,134.35077967544385
CPU/8core-1000M,cc,1222048620,133.0434944456898
CPU/8core-1000M,dlrm,1101818120,137.4457739593636
CPU/8core-1000M,gc,1245365940,131.22413818899676
CPU/8core-1000M,gen,1241718660,128.57474736317639
CPU/8core-1000M,pr,424396440,115.6599506427637
CPU/8core-1000M,rnd,211545620,65.85029257603519
CPU/8core-1000M,sssp,1061999120,193.38297127563303
CPU/8core-1000M,tc,332937800,146.82001522500414
CPU/8core-1000M,xs,195140400,54.91696526982714
NDP/8core-1000M,bc,1716219180,267.1060881130235
NDP/8core-1000M,bfs,9823524100,1046.314343879913
NDP/8core-1000M,cc,10331934600,1036.7563742514865
NDP/8core-1000M,dlrm,9744915180,1047.4822892242014
NDP/8core-1000M,gc,9809223060,905.6493549765062
NDP/8core-1000M,gen,9940792160,919.2307222954036
NDP/8core-1000M,pr,961343240,253.89986181451007
NDP/8core-1000M,rnd,3407548820,2893.9255678980808
NDP/8core-1000M,sssp,6686443920,695.7280139046193
NDP/8core-1000M,tc,1558446500,563.3508922577448
NDP/8core-1000M,xs,1186527420,463.645810515814
NDP-HBM/8core-1000M,bc,2246238800,314.29246590893433
NDP-HBM/8core-1000M,bfs,14158151280,965.8128701721287
NDP-HBM/8core-1000M,cc,15277306200,950.5049596841684
NDP-HBM/8core-1000M,dlrm,13859413880,954.4750629183413
NDP-HBM/8core-1000M,gc,15586811760,1126.0513859160062
NDP-HBM/8core-1000M,gen,15499641300,1138.8218707266637
NDP-HBM/8core-1000M,pr,2346863740,316.78468048120783
NDP-HBM/8core-1000M,rnd,4300640500,2989.443568072705
NDP-HBM/8core-1000M,sssp,15002280540,1271.7325631182296
NDP-HBM/8core-1000M,tc,2005393520,542.4273024838072
NDP-HBM/8core-1000M,xs,1591569720,420.39923093462505
CPU-no-translation/8core-1000M,bc,130847080,N/A
CPU-no-translation/8core-1000M,bfs,840155940,N/A
CPU-no-translation/8core-1000M,cc,935191920,N/A
CPU-no-translation/8core-1000M,dlrm,840217820,N/A
CPU-no-translation/8core-1000M,gc,865527000,N/A
CPU-no-translation/8core-1000M,gen,865882940,N/A
CPU-no-translation/8core-1000M,pr,434781100,N/A
CPU-no-translation/8core-1000M,rnd,203430240,N/A
CPU-no-translation/8core-1000M,sssp,568765340,N/A
CPU-no-translation/8core-1000M,tc,273681720,N/A
CPU-no-translation/8core-1000M,xs,152854520,N/A
NDP-no-translation/8core-1000M,bc,1694461860,N/A
NDP-no-translation/8core-1000M,bfs,3628845740,N/A
NDP-no-translation/8core-1000M,cc,3497651040,N/A
NDP-no-translation/8core-1000M,dlrm,3647476560,N/A
NDP-no-translation/8core-1000M,gc,3992506960,N/A
NDP-no-translation/8core-1000M,gen,4015130340,N/A
NDP-no-translation/8core-1000M,pr,965587740,N/A
NDP-no-translation/8core-1000M,rnd,542240400,N/A
NDP-no-translation/8core-1000M,sssp,2921155120,N/A
NDP-no-translation/8core-1000M,tc,1067977820,N/A
NDP-no-translation/8core-1000M,xs,832094380,N/A
NDP-no-translation-HBM/8core-1000M,bc,2226060460,N/A
NDP-no-translation-HBM/8core-1000M,bfs,4967380600,N/A
NDP-no-translation-HBM/8core-1000M,cc,5140729360,N/A
NDP-no-translation-HBM/8core-1000M,dlrm,4968866240,N/A
NDP-no-translation-HBM/8core-1000M,gc,5707352560,N/A
NDP-no-translation-HBM/8core-1000M,gen,5707793260,N/A
NDP-no-translation-HBM/8core-1000M,pr,2317657680,N/A
NDP-no-translation-HBM/8core-1000M,rnd,1283122100,N/A
NDP-no-translation-HBM/8core-1000M,sssp,4526767440,N/A
NDP-no-translation-HBM/8core-1000M,tc,1309403680,N/A
NDP-no-translation-HBM/8core-1000M,xs,1082813420,N/A
